Unnamed: 0.1,Unnamed: 0,ai4bharat,Profanity,Profanity_Matched_Pattern,Offensive,Offensive_Matched_Pattern,Gender,preprocessing_text,Label,Combined_Label,tokenized_text,embeddings
658,219,खराब मान्छे हो यो सभामुख ।,0.0,,0.0,,1,खराब मान् सभामुख ,0,"[1, 0]","['खराब', 'मान्', 'सभामुख']","[[ 0.15894416 -0.20917109  0.20634027 ...  0.11337165  0.11924522
  -0.46357197]
 [ 0.200942   -0.16798529  0.3407051  ... -0.06689675  0.10135737
  -0.3142735 ]
 [ 0.27146432 -0.29598877  0.5263514  ... -0.16560131  0.03496559
  -0.27971864]
 ...
 [ 0.18914662 -0.4582187   0.5125435  ...  0.16150571  0.02192515
  -0.27777106]
 [ 0.04588823 -0.2721048   0.5854557  ...  0.00684008  0.03087136
  -0.25259352]
 [-0.00691104 -0.23071887  0.9687296  ...  0.08016621  0.3140979
   0.16722478]]"
540,209,फेक मिडिया,0.0,,,,1,फेक मिडिया,0,"[1, 0]","['फेक', 'मिडिया']","[[ 2.6230398e-01 -2.2977638e-01  4.3046263e-01 ...  2.0966388e-02
  -1.8975231e-01 -4.6123028e-01]
 [ 2.6129666e-01 -2.0670910e-01  2.8930038e-01 ...  2.7221814e-04
   8.9094482e-02 -1.8551040e-01]
 [ 2.4454078e-01 -3.7890238e-01  5.4947764e-01 ...  7.8847975e-02
  -1.7673415e-01 -3.1912744e-01]
 [ 3.9478004e-02 -3.5263461e-01  6.2583584e-01 ... -5.5859726e-02
   6.2564559e-02 -2.2002517e-01]
 [ 1.9499812e-01 -2.3280093e-01  1.8931362e-01 ...  1.6765690e-01
  -7.5666256e-02 -1.4424551e-01]
 [ 3.8046099e-02 -2.9301155e-01  6.5359116e-01 ...  3.0454095e-02
   2.4993622e-01 -3.6920225e-03]]"
558,88,🔥बुट उनीको आमाको होएन आमाहरू वनेको क्सान बास्तबमा अस्तै क्सान  अरु आमाहरू,0.0,,0.0,,0,बुट उनी आमा होएन आमा व क्सान बास्तब अस्तै क्सान आमा,0,"[0, 0]","['बुट', 'उनी', 'आमा', 'होएन', 'आमा', 'व', 'क्सान', 'बास्तब', 'अस्तै', 'क्सान', 'आमा']","[[ 0.34195864 -0.08143243  0.28660244 ...  0.04251331  0.10173769
  -0.34954166]
 [ 0.13928635 -0.2491401   0.37358683 ...  0.01474358  0.3041363
  -0.24165756]
 [ 0.06609304 -0.3149148   0.38544816 ...  0.13087156  0.08615042
  -0.51651025]
 ...
 [ 0.31399238 -0.27228215  0.4647401  ... -0.31528512 -0.20592842
  -0.1300432 ]
 [ 0.00104575 -0.39675504  0.6839138  ...  0.03605556  0.00489009
  -0.2957371 ]
 [ 0.20698574 -0.25092602  0.96867466 ...  0.10920687  0.25774103
   0.22578505]]"
314,1613,शेरवहादुरले बोलेको बुझ्ने एकमात्र ढोँगी नेता,0.0,,0.0,,1,शेरवहादुर बोल बुझ् एकमात्र ढोँगी नेता,0,"[1, 0]","['शेरवहादुर', 'बोल', 'बुझ्', 'एकमात्र', 'ढोँगी', 'नेता']","[[ 0.32586068 -0.31867993  0.50308543 ... -0.10138357  0.00339037
  -0.63338923]
 [ 0.10026366 -0.1997951   0.40776953 ... -0.08935905  0.18795444
  -0.28496617]
 [ 0.31999424 -0.3952276   0.38855636 ...  0.00902415  0.1076907
  -0.3081929 ]
 ...
 [ 0.20075013 -0.27339593  0.67912996 ...  0.14995904  0.01617035
  -0.2592757 ]
 [ 0.22607405 -0.34326386  0.2550542  ...  0.03869325  0.02811475
  -0.30335394]
 [ 0.08615287 -0.21152893  1.1235409  ...  0.13351284  0.27686962
   0.22129168]]"
503,246,बिर्खराम पुर्जा पुन समाचार को पक्षी लाग्नुस आदलत एक्सए सरकार एक्सए कुनै उद्योगपति राजनीति मा क्सिर्नु को परिणाम हो अरु हैन अरु आफै बुज्नु हुन्क्सा,0.0,,0.0,,1,बिर्खराम पुर्जा पुन समाचार पक्षी लाग्नुस आदलत एक्सए सरकार एक्सए उद्योगपति राजनीति क्सिर् परिणाम हैन आफै बुज् हुन्क्सा,0,"[1, 0]","['बिर्खराम', 'पुर्जा', 'पुन', 'समाचार', 'पक्षी', 'लाग्नुस', 'आदलत', 'एक्सए', 'सरकार', 'एक्सए', 'उद्योगपति', 'राजनीति', 'क्सिर्', 'परिणाम', 'हैन', 'आफै', 'बुज्', 'हुन्क्सा']","[[ 0.34195864 -0.08143243  0.28660244 ...  0.04251331  0.10173769
  -0.34954166]
 [ 0.22559024 -0.21548739  0.29397923 ... -0.07003011  0.04353528
  -0.38044763]
 [ 0.02213073 -0.28359073  0.42604202 ...  0.02640275  0.09870314
  -0.2525489 ]
 ...
 [ 0.25708887 -0.27194315  0.07433319 ... -0.15755478  0.15480696
  -0.3484888 ]
 [ 0.04656817 -0.36796653  0.55198014 ... -0.02499947  0.07772927
  -0.31457782]
 [ 0.20698574 -0.25092602  0.96867466 ...  0.10920687  0.25774103
   0.22578505]]"
473,76,लाईट किन न बालेको तयो बाईक ले 😂😂,0.0,,0.0,,1,लाईट बाल बाईक,0,"[1, 0]","['लाईट', 'बाल', 'बाईक']","[[ 0.2567502  -0.48061228  0.02886591 ... -0.171703    0.14277214
  -0.45970473]
 [ 0.09396763 -0.5000057   0.45054874 ... -0.09348013  0.03985324
  -0.05877954]
 [ 0.15765025 -0.2254764   0.3307923  ...  0.17754914  0.22737738
  -0.3884402 ]
 ...
 [ 0.253138   -0.36133415  0.59517527 ...  0.04029974  0.11692382
  -0.364012  ]
 [ 0.17405178 -0.08587247  0.4084772  ... -0.03929551  0.10430437
  -0.41271952]
 [ 0.1981915  -0.16976684  0.98853683 ...  0.04946597  0.20839065
   0.14666632]]"
102,171,"न्ââबीêêन् बराल नेपहप मा वितल रोले प्ले गार्क्सा ..
उसलाई ठाहुँक्सा नि डुडे के चलिरक्सा वन्ने",0.0,,0.0,,1,न्ââबीêêन् बराल नेपहप वितल रो प् गार्क्सा  उस ठाहुँक्सा डुडे चलिरक्सा वन्,0,"[1, 0]","['न्ââबीêêन्', 'बराल', 'नेपहप', 'वितल', 'रो', 'प्', 'गार्क्सा', 'उस', 'ठाहुँक्सा', 'डुडे', 'चलिरक्सा', 'वन्']","[[ 0.15031609 -0.16626959  0.3272973  ...  0.11619974 -0.06073339
  -0.32128954]
 [ 0.044349   -0.28373083  0.41082445 ...  0.02571674  0.0521462
  -0.24116097]
 [ 0.05808514  0.04346861  0.35215783 ... -0.23534083 -0.01743547
  -0.24417412]
 ...
 [ 0.13932066 -0.2232911   0.62848234 ...  0.43448272 -0.1017469
  -0.4785518 ]
 [ 0.10469268 -0.379012    0.5232993  ...  0.00682786  0.05594536
  -0.29502746]
 [ 0.25341016 -0.18208097  1.0383427  ... -0.00321852  0.27446157
   0.1625104 ]]"
396,220,बुवा लाल सलाम,0.0,,0.0,,0,बुवा लाल सलाम,0,"[0, 0]","['बुवा', 'लाल', 'सलाम']","[[ 3.41958642e-01 -8.14324319e-02  2.86602437e-01 ...  4.25133109e-02
   1.01737686e-01 -3.49541664e-01]
 [ 2.70215392e-01 -4.11446273e-01  4.70363319e-01 ... -6.98031783e-02
   4.65040579e-02 -2.21486062e-01]
 [ 2.22873956e-01 -2.84053177e-01  2.89262950e-01 ... -5.64145818e-02
  -3.53834152e-01 -2.80256093e-01]
 ...
 [ 1.93708584e-01 -2.02517197e-01  3.03240299e-01 ... -1.38316322e-02
  -7.54547725e-03 -2.71835387e-01]
 [ 1.64327100e-01 -3.60185117e-01  4.75692153e-01 ...  6.49492443e-02
  -8.00940618e-02 -2.75159419e-01]
 [ 1.69597059e-01 -1.51059076e-01  9.14958119e-01 ... -5.28618693e-05
   2.72558331e-01  3.23895067e-02]]"
804,419,आबा ता पानी सकिने टाइम हुदै चा वाई धेरै बुरुक बुरुक  नगर,0.0,,0.0,,1,आबा ता पानी सकि टाइम हु चा वाई बुरुक बुरुक नगर,0,"[1, 0]","['आबा', 'ता', 'पानी', 'सकि', 'टाइम', 'हु', 'चा', 'वाई', 'बुरुक', 'बुरुक', 'नगर']","[[ 0.21532151 -0.16155338  0.3657965  ... -0.00244997 -0.03119803
  -0.42643428]
 [ 0.26470277 -0.20721647  0.6418361  ... -0.36318365 -0.09641503
  -0.2512998 ]
 [ 0.33823287 -0.3179875   0.43329775 ...  0.23365217  0.1702448
  -0.3375381 ]
 ...
 [ 0.2519706  -0.16010731  0.49128902 ... -0.09463651  0.00596246
  -0.374874  ]
 [ 0.05333802 -0.2319994   0.47029084 ...  0.01440388 -0.07101151
  -0.15420426]
 [ 0.03923273 -0.304773    0.8866517  ...  0.09809779  0.54244775
   0.06494053]]"
193,515,रोन्ब ले कति लियो यो पोस्ट को?,0.0,,0.0,,1,रोन्ब कति ल पोस्ट को,0,"[1, 0]","['रोन्ब', 'कति', 'ल', 'पोस्ट', 'को']","[[ 0.31268805 -0.14079648  0.20171149 ...  0.17549136 -0.07811551
  -0.46661392]
 [ 0.3431579  -0.21507594  0.34034404 ... -0.02900378  0.0699274
  -0.3072622 ]
 [ 0.12342406 -0.36362135  0.4647966  ... -0.01975734  0.07524679
  -0.271858  ]
 ...
 [ 0.09985054 -0.25393063  0.32478547 ...  0.01480709  0.19716649
  -0.42010158]
 [ 0.3269589  -0.31171376  0.14554778 ... -0.19618134 -0.1567247
  -0.32128134]
 [ 0.05738467 -0.21596354  0.9632725  ...  0.12588957  0.33622417
   0.11257141]]"
